"sn","base_ym","search_rank_nm","srchwrd_nm","views_co","pt_value"
"956","202011","37","예비","5","0.89"
"957","202011","38","자신감","5","0.89"
"958","202011","39","검정고시","5","0.89"
"959","202011","40","통증","5","0.89"
"960","202011","41","사과","5","0.89"
"961","202011","42","질투","5","0.89"
"962","202011","43","시험","5","0.89"
"963","202011","44","인생","5","0.89"
"964","202011","45","사춘기","4","0.71"
"965","202011","46","키","4","0.71"
