기준년월,시도명,시군구명,국적명,업종분류명,사용금액
2016-05,경기도,성남시 수정구,브라질,요식/유흥.제과점,35200
2016-05,경기도,수원시 권선구,멕시코,요식/유흥.일반대중음식,11500
2016-05,경기도,수원시 장안구,미국,건강/미용.대중목욕탕,206000
2016-05,경기도,화성시,영국,요식/유흥.한식,1101000
2016-05,경기도,여주시,중국,요식/유흥.일반대중음식,741494
2016-05,경기도,가평군,스위스,유통.편의점,1600
2016-05,경기도,수원시 팔달구,필리핀,문화/레져.운동경기레져용품,169000
2016-05,경기도,양평군,크로아티아,요식/유흥.한식,20000
2016-05,경기도,고양시 일산서구,칠레,유통.할인점/슈퍼마켓,851670
2016-05,경기도,광명시,일본,요식/유흥.패스트푸드,143000
2016-05,경기도,성남시 중원구,싱가폴,요식/유흥.한식,157000
2016-05,경기도,동두천시,미국,요식/유흥.일식,1964800
2016-05,경기도,용인시 기흥구,중국,의류/잡화.남.여기성복,121759039
2016-05,경기도,안산시 상록구,독일,요식/유흥.양식,376400
2016-05,경기도,이천시,인도,문화/레져.실외골프장,197500
2016-05,경기도,포천시,영국,여행/교통.콘도미니엄,340000
2016-05,경기도,광주시,뉴질랜드,농축수산물.미곡상,12000
2016-05,경기도,성남시 분당구,일본,문화/레져.서적,14200
2016-05,경기도,연천군,미국,요식/유흥.한식,728500
2016-05,경기도,김포시,중국,요식/유흥.한식,28651811
2016-05,경기도,안성시,괌,자동차.주유소,27955
2016-05,경기도,오산시,프랑스,자동차.주유소,120000
2016-05,경기도,고양시 덕양구,캄보디아,요식/유흥.일반대중음식,91700
2016-05,경기도,의정부시,일본,여행/교통.모텔여관기타숙박,2020000
2016-05,경기도,양주시,일본,건강/미용.대중목욕탕,55000
2016-05,경기도,수원시 영통구,러시아,유통.백화점,660360
2016-05,경기도,평택시,남아프리카공화국,유통.농협(마트),45410
2016-05,경기도,안산시 단원구,베트남,건강/미용.안경콘텍트렌즈,36000
2016-05,경기도,안양시 동안구,일본,여행/교통.렌트카,81100
2016-05,경기도,의왕시,미국,요식/유흥.일반대중음식,1495300
2016-05,경기도,남양주시,태국,의류/잡화.아동복,5000
2016-05,경기도,안양시 만안구,대만,요식/유흥.커피전문점,27800
2016-05,경기도,부천시,카자흐스탄,유통.생활잡화,7900
2016-05,경기도,하남시,말레이지아,농축수산물.농수산물,49268
2016-05,경기도,고양시 일산동구,스웨덴,요식/유흥.한식,258400
2016-05,경기도,파주시,뉴질랜드,요식/유흥.한식,23000
2016-05,경기도,용인시 수지구,아랍에미레이트,문화/레져.운동경기레져용품,1202300
2016-05,경기도,과천시,일본,건강/미용.화장품,28400
2016-05,경기도,군포시,중국,요식/유흥.양식,702469
2016-05,경기도,용인시 처인구,프랑스,요식/유흥.제과점,2400
2016-05,경기도,구리시,니카라과,유통.편의점,4500
2016-05,경기도,시흥시,캐나다,의류/잡화.아동복,74000
