기준년월,시도명,시군구명,국적명,업종분류명,사용금액
2016-07,경기도,구리시,미국,요식/유흥.노래방,215000
2016-07,경기도,수원시 권선구,홍콩,요식/유흥.한식,234420
2016-07,경기도,고양시 덕양구,미국,건강/미용.대중목욕탕,134500
2016-07,경기도,이천시,체코,문화/레져.실외골프장,129000
2016-07,경기도,광주시,폴란드,요식/유흥.일반대중음식,16000
2016-07,경기도,파주시,터키,문화/레져.관광민예선물용품,56000
2016-07,경기도,군포시,캐나다,요식/유흥.일반대중음식,198500
2016-07,경기도,안산시 단원구,미국,문화/레져.사진관DPNE,164000
2016-07,경기도,용인시 수지구,폴란드,유통.편의점,3000
2016-07,경기도,용인시 처인구,태국,유통.할인점/슈퍼마켓,124420
2016-07,경기도,수원시 영통구,코스타리카,자동차.주유소,30000
2016-07,경기도,고양시 일산서구,독일,요식/유흥.중식,400000
2016-07,경기도,하남시,스웨덴,요식/유흥.한식,106000
2016-07,경기도,고양시 일산동구,중국,건강/미용.스포츠마사지,193769
2016-07,경기도,수원시 장안구,멕시코,건강/미용.대중목욕탕,40000
2016-07,경기도,시흥시,필리핀,자동차.주유소,105000
2016-07,경기도,성남시 수정구,베트남,요식/유흥.중식,6000
2016-07,경기도,안양시 동안구,노르웨이,요식/유흥.한식,73700
2016-07,경기도,평택시,미국,요식/유흥.단란주점,13640800
2016-07,경기도,광명시,인도,자동차.주유소,8500
2016-07,경기도,성남시 중원구,미국,문화/레져.실내골프장,60000
2016-07,경기도,양평군,홍콩,자동차.주유소,50000
2016-07,경기도,여주시,필리핀,유통.편의점,20050
2016-07,경기도,의왕시,말레이지아,요식/유흥.한식,26000
2016-07,경기도,의정부시,일본,농축수산물.농수산물,106000
2016-07,경기도,안성시,홍콩,요식/유흥.한식,26000
2016-07,경기도,부천시,중국,요식/유흥.중식,23483218
2016-07,경기도,안양시 만안구,미국,요식/유흥.제과점,257400
2016-07,경기도,용인시 기흥구,미국,요식/유흥.제과점,1664450
2016-07,경기도,오산시,홍콩,건강/미용.안경콘텍트렌즈,320000
2016-07,경기도,포천시,싸이프러스,요식/유흥.일반대중음식,49700
2016-07,경기도,화성시,영국,요식/유흥.제과점,35950
2016-07,경기도,가평군,스웨덴,여행/교통.콘도미니엄,24900
2016-07,경기도,안산시 상록구,미국,문화/레져.PC게임방,5000
2016-07,경기도,연천군,태국,요식/유흥.한식,41000
2016-07,경기도,김포시,대만,문화/레져.운동경기레져용품,89600
2016-07,경기도,양주시,프랑스,유통.편의점,19700
2016-07,경기도,수원시 팔달구,푸에르토리코,여행/교통.모텔여관기타숙박,40000
2016-07,경기도,남양주시,괌,요식/유흥.한식,94000
2016-07,경기도,성남시 분당구,이탈리아,유통.농협(마트),20800
2016-07,경기도,과천시,멕시코,요식/유흥.일반대중음식,13400
2016-07,경기도,동두천시,미국,요식/유흥.단란주점,1035000
