기준년월,시도명,시군구명,국적명,업종분류명,사용금액
2015-06,경기도,안산시 단원구,벨리즈,문화/레져.당구장,3400
2015-06,경기도,군포시,네덜란드,유통.편의점,16450
2015-06,경기도,안양시 동안구,일본,자동차.자전거(성인용),461000
2015-06,경기도,광주시,베트남,요식/유흥.한식,125000
2015-06,경기도,안양시 만안구,캐나다,요식/유흥.단란주점,16000
2015-06,경기도,남양주시,캐나다,요식/유흥.제과점,39200
2015-06,경기도,수원시 팔달구,크로아티아,유통.할인점/슈퍼마켓,20480
2015-06,경기도,하남시,오스트레일리아,유통.편의점,76500
2015-06,경기도,광명시,뉴질랜드,요식/유흥.한식,24700
2015-06,경기도,수원시 장안구,프랑스,요식/유흥.일반대중음식,113800
2015-06,경기도,여주시,싱가폴,문화/레져.실외골프장,5087705
2015-06,경기도,오산시,중국,농축수산물.농수산물,135583
2015-06,경기도,고양시 일산동구,나이지리아,여행/교통.2급  호텔,200000
2015-06,경기도,고양시 일산서구,캐나다,자동차.주유소,277000
2015-06,경기도,과천시,스웨덴,요식/유흥.한식,33000
2015-06,경기도,부천시,스위스,건강/미용.대중목욕탕,8000
2015-06,경기도,성남시 중원구,중국,의류/잡화.내의류판매업,2118481
2015-06,경기도,평택시,브라질,여행/교통.2급  호텔,437100
2015-06,경기도,수원시 영통구,미국,건강/미용.대중목욕탕,144000
2015-06,경기도,용인시 기흥구,카자흐스탄,요식/유흥.커피전문점,9900
2015-06,경기도,이천시,중국,여행/교통.모텔여관기타숙박,146203469
2015-06,경기도,가평군,덴마크,요식/유흥.한식,3700
2015-06,경기도,구리시,캐나다,문화/레져.서적,60000
2015-06,경기도,시흥시,카자흐스탄,의류/잡화.남.여기성복,16900
2015-06,경기도,의정부시,핀란드,의류/잡화.남.여기성복,19500
2015-06,경기도,화성시,미국,유통.생활잡화,277550
2015-06,경기도,용인시 처인구,네덜란드,문화/레져.종합레저타운/놀이동산,846300
2015-06,경기도,성남시 수정구,중국,건강/미용.싸우나탕,2033742
2015-06,경기도,양평군,일본,유통.편의점,93350
2015-06,경기도,연천군,미국,문화/레져.관광민예선물용품,15000
2015-06,경기도,안산시 상록구,스웨덴,요식/유흥.일반대중음식,120700
2015-06,경기도,파주시,미국,문화/레져.골동품예술품,501800
2015-06,경기도,수원시 권선구,인도,요식/유흥.한식,140000
2015-06,경기도,안성시,터키,건강/미용.화장품,148120
2015-06,경기도,김포시,아일랜드,요식/유흥.한식,164300
2015-06,경기도,포천시,일본,유통.할인점/슈퍼마켓,1040060
2015-06,경기도,고양시 덕양구,이탈리아,요식/유흥.일반대중음식,4300
2015-06,경기도,의왕시,아일랜드,유통.할인점/슈퍼마켓,135260
2015-06,경기도,양주시,일본,유통.농협(마트),59260
2015-06,경기도,용인시 수지구,아랍에미레이트,유통.생활잡화,65800
2015-06,경기도,동두천시,말레이지아,문화/레져.실외골프장,2327360
2015-06,경기도,성남시 분당구,카자흐스탄,농축수산물.정육점,14000
