기준년월,시도명,시군구명,국적명,업종분류명,사용금액
2016-01,경기도,수원시 장안구,뉴질랜드,건강/미용.대중목욕탕,3000
2016-01,경기도,의왕시,미국,요식/유흥.양식,986800
2016-01,경기도,오산시,카자흐스탄,유통.편의점,96350
2016-01,경기도,시흥시,영국,여행/교통.2급  호텔,13700
2016-01,경기도,이천시,미국,여행/교통.특급호텔,13444342
2016-01,경기도,안산시 상록구,칠레,문화/레져.실외골프장,1863500
2016-01,경기도,여주시,아랍에미레이트,요식/유흥.한식,10500
2016-01,경기도,평택시,독일,요식/유흥.양식,191600
2016-01,경기도,고양시 일산서구,스웨덴,유통.할인점/슈퍼마켓,521800
2016-01,경기도,성남시 수정구,카자흐스탄,요식/유흥.한식,13000
2016-01,경기도,구리시,독일,건강/미용.이용미용,500000
2016-01,경기도,가평군,프랑스,여행/교통.모텔여관기타숙박,40000
2016-01,경기도,부천시,카타르,유통.할인점/슈퍼마켓,95030
2016-01,경기도,연천군,미국,건강/미용.이용미용,106000
2016-01,경기도,용인시 기흥구,오스트레일리아,자동차.주유소,310597
2016-01,경기도,파주시,영국,자동차.LPG가스,92317
2016-01,경기도,과천시,일본,요식/유흥.패스트푸드,14700
2016-01,경기도,동두천시,미국,요식/유흥.패스트푸드,21618460
2016-01,경기도,성남시 중원구,싱가폴,요식/유흥.일반대중음식,17600
2016-01,경기도,포천시,말레이지아,요식/유흥.한식,13500
2016-01,경기도,성남시 분당구,스웨덴,농축수산물.인삼  및  건강제품,32000
2016-01,경기도,수원시 권선구,중국,건강/미용.화장품,2356010
2016-01,경기도,수원시 팔달구,브라질,여행/교통.1급  호텔,320000
2016-01,경기도,광주시,인도네시아,요식/유흥.한식,517000
2016-01,경기도,안성시,체코,유통.할인점/슈퍼마켓,5100
2016-01,경기도,김포시,미국,문화/레져.서적,191300
2016-01,경기도,양평군,캐나다,자동차.주유소,34793
2016-01,경기도,용인시 처인구,필리핀,요식/유흥.한식,301000
2016-01,경기도,고양시 덕양구,중국,의류/잡화.내의류판매업,261779
2016-01,경기도,안양시 동안구,미국,건강/미용.대중목욕탕,15000
2016-01,경기도,안산시 단원구,카자흐스탄,요식/유흥.제과점,2800
2016-01,경기도,용인시 수지구,뉴질랜드,요식/유흥.양식,20000
2016-01,경기도,군포시,카자흐스탄,유통.식품잡화,48060
2016-01,경기도,화성시,이스라엘,자동차.주유소,106000
2016-01,경기도,수원시 영통구,대만,유통.백화점,198040
2016-01,경기도,양주시,독일,유통.생활잡화,910000
2016-01,경기도,의정부시,오스트레일리아,요식/유흥.일반대중음식,92200
2016-01,경기도,광명시,미국,건강/미용.이용미용,242000
2016-01,경기도,고양시 일산동구,홍콩,요식/유흥.양식,147400
2016-01,경기도,하남시,미국,문화/레져.서적,37000
2016-01,경기도,남양주시,말레이지아,요식/유흥.패스트푸드,13800
2016-01,경기도,안양시 만안구,미국,건강/미용.대중목욕탕,7000
