기준년월,시도명,시군구명,국적명,업종분류명,사용금액
2015-08,경기도,여주시,미국,건강/미용.이용미용,150000
2015-08,경기도,김포시,스페인,유통.쇼핑몰,133150
2015-08,경기도,고양시 덕양구,뉴질랜드,유통.할인점/슈퍼마켓,375480
2015-08,경기도,평택시,일본,유통.할인점/슈퍼마켓,5105649
2015-08,경기도,안양시 동안구,미국,건강/미용.안경콘텍트렌즈,2165000
2015-08,경기도,하남시,영국,건강/미용.화장품,16000
2015-08,경기도,동두천시,중국,요식/유흥.양식,268248
2015-08,경기도,성남시 수정구,미국,자동차.주유소,2793748
2015-08,경기도,안성시,스페인,건강/미용.화장품,76900
2015-08,경기도,연천군,캐나다,요식/유흥.한식,19000
2015-08,경기도,수원시 장안구,러시아,건강/미용.대중목욕탕,30000
2015-08,경기도,고양시 일산동구,오스트레일리아,문화/레져.공연장극장,20500
2015-08,경기도,구리시,필리핀,문화/레져.운동경기레져용품,30000
2015-08,경기도,수원시 팔달구,홍콩,여행/교통.특급호텔,9074905
2015-08,경기도,용인시 처인구,독일,요식/유흥.중식,37500
2015-08,경기도,부천시,중국,유통.연쇄점,101718
2015-08,경기도,안산시 상록구,미국,문화/레져.운동경기레져용품,766700
2015-08,경기도,파주시,일본,여행/교통.고속버스,360000
2015-08,경기도,과천시,필리핀,자동차.주유소,50000
2015-08,경기도,안양시 만안구,필리핀,자동차.주유소,76000
2015-08,경기도,양평군,홍콩,유통.편의점,11300
2015-08,경기도,용인시 기흥구,영국,여행/교통.모텔여관기타숙박,280000
2015-08,경기도,의왕시,프랑스,요식/유흥.제과점,26200
2015-08,경기도,가평군,싱가폴,여행/교통.모텔여관기타숙박,32500
2015-08,경기도,수원시 영통구,인도,건강/미용.이용미용,137000
2015-08,경기도,의정부시,베트남,의류/잡화.남.여기성복,26000
2015-08,경기도,시흥시,대만,여행/교통.모텔여관기타숙박,804000
2015-08,경기도,이천시,인도,요식/유흥.제과점,6500
2015-08,경기도,광명시,루마니아,요식/유흥.일반대중음식,78700
2015-08,경기도,오산시,태국,요식/유흥.일반대중음식,30500
2015-08,경기도,포천시,미국,의류/잡화.내의류판매업,95100
2015-08,경기도,고양시 일산서구,중국,문화/레져.스포츠센타/레포츠클럽,10847844
2015-08,경기도,군포시,스리랑카,요식/유흥.양식,19000
2015-08,경기도,광주시,일본,요식/유흥.커피전문점,37350
2015-08,경기도,안산시 단원구,일본,요식/유흥.중식,885000
2015-08,경기도,양주시,벨기에,자동차.주유소,188527
2015-08,경기도,화성시,베트남,요식/유흥.노래방,200000
2015-08,경기도,성남시 중원구,괌,요식/유흥.한식,44000
2015-08,경기도,남양주시,터키,요식/유흥.제과점,6300
2015-08,경기도,용인시 수지구,오스트레일리아,여행/교통.모텔여관기타숙박,33000
2015-08,경기도,수원시 권선구,일본,의류/잡화.남.여기성복,184000
2015-08,경기도,성남시 분당구,이탈리아,유통.편의점,126480
