기준년월,시도명,시군구명,국적명,업종분류명,사용금액
2015-01,경기도,고양시 일산서구,홍콩,유통.편의점,40950
2015-01,경기도,오산시,영국,요식/유흥.커피전문점,14500
2015-01,경기도,광명시,몽고,유통.생활잡화,2740000
2015-01,경기도,성남시 중원구,아제르바이잔,의류/잡화.남.여기성복,1429800
2015-01,경기도,성남시 분당구,캐나다,요식/유흥.한식,5336500
2015-01,경기도,안산시 단원구,루마니아,요식/유흥.일반대중음식,15000
2015-01,경기도,용인시 처인구,러시아,문화/레져.종합레저타운/놀이동산,7459800
2015-01,경기도,과천시,핀란드,문화/레져.종합레저타운/놀이동산,51600
2015-01,경기도,용인시 수지구,필리핀,요식/유흥.일식,70000
2015-01,경기도,파주시,오스트레일리아,요식/유흥.중식,90000
2015-01,경기도,수원시 장안구,스위스,의류/잡화.남.여기성복,22800
2015-01,경기도,구리시,미국,농축수산물.농수산물,532090
2015-01,경기도,광주시,태국,유통.식품잡화,89780
2015-01,경기도,안양시 만안구,일본,여행/교통.모텔여관기타숙박,1161000
2015-01,경기도,군포시,인도네시아,요식/유흥.제과점,32400
2015-01,경기도,동두천시,미국,농축수산물.정육점,393330
2015-01,경기도,양평군,홍콩,자동차.주유소,238706
2015-01,경기도,용인시 기흥구,프랑스,자동차.주유소,327000
2015-01,경기도,가평군,태국,유통.할인점/슈퍼마켓,3128000
2015-01,경기도,고양시 덕양구,중국,요식/유흥.커피전문점,349534
2015-01,경기도,고양시 일산동구,우즈베키스탄,요식/유흥.한식,8000
2015-01,경기도,의정부시,러시아,건강/미용.대중목욕탕,44000
2015-01,경기도,평택시,독일,요식/유흥.커피전문점,7900
2015-01,경기도,하남시,오스트레일리아,건강/미용.화장품,119000
2015-01,경기도,남양주시,미국,요식/유흥.일반대중음식,1853400
2015-01,경기도,안양시 동안구,중국,문화/레져.수련원체험장,6270105
2015-01,경기도,성남시 수정구,미국,요식/유흥.커피전문점,27700
2015-01,경기도,부천시,아르헨티나,유통.할인점/슈퍼마켓,188900
2015-01,경기도,수원시 영통구,대만,요식/유흥.유흥주점,2300000
2015-01,경기도,시흥시,미국,건강/미용.대중목욕탕,31000
2015-01,경기도,여주시,홍콩,자동차.주유소,137000
2015-01,경기도,의왕시,캐나다,요식/유흥.양식,32000
2015-01,경기도,포천시,중국,농축수산물.농수산물,677558
2015-01,경기도,연천군,미국,자동차.주유소,91000
2015-01,경기도,이천시,미국,건강/미용.안경콘텍트렌즈,40000
2015-01,경기도,안성시,러시아,요식/유흥.일반대중음식,20000
2015-01,경기도,화성시,독일,요식/유흥.제과점,180950
2015-01,경기도,안산시 상록구,중국,여행/교통.특급호텔,828127
2015-01,경기도,김포시,대만,농축수산물.인삼  및  건강제품,300000
2015-01,경기도,수원시 팔달구,스위스,여행/교통.특급호텔,2204380
2015-01,경기도,양주시,영국,의류/잡화.남.여기성복,96000
2015-01,경기도,수원시 권선구,일본,요식/유흥.커피전문점,98500
