기준년월,시도명,시군구명,국적명,업종분류명,사용금액
2016-09,경기도,수원시 팔달구,스웨덴,건강/미용.이용미용,25000
2016-09,경기도,김포시,일본,문화/레져.당구장,67000
2016-09,경기도,양주시,일본,문화/레져.운동경기레져용품,69000
2016-09,경기도,광명시,과테말라,유통.백화점,208000
2016-09,경기도,용인시 기흥구,프랑스,문화/레져.관광민예선물용품,23000
2016-09,경기도,광주시,오스트레일리아,요식/유흥.일반대중음식,183500
2016-09,경기도,안양시 동안구,오스트레일리아,문화/레져.공연장극장,9000
2016-09,경기도,파주시,브루나이드루살렘,의류/잡화.남.여기성복,323400
2016-09,경기도,가평군,독일,유통.할인점/슈퍼마켓,2800
2016-09,경기도,고양시 일산동구,오스트리아,문화/레져.테니스장,27000
2016-09,경기도,성남시 분당구,인도네시아,요식/유흥.일식,234900
2016-09,경기도,군포시,독일,요식/유흥.패스트푸드,7600
2016-09,경기도,오산시,일본,요식/유흥.양식,49000
2016-09,경기도,하남시,덴마크,요식/유흥.한식,42000
2016-09,경기도,화성시,아이슬랜드,농축수산물.농수산물,7400
2016-09,경기도,안산시 상록구,홍콩,문화/레져.운동경기레져용품,413100
2016-09,경기도,양평군,베트남,요식/유흥.일반대중음식,5000
2016-09,경기도,용인시 수지구,우크라이나,요식/유흥.일반대중음식,2800
2016-09,경기도,성남시 수정구,콜롬비아,요식/유흥.일반대중음식,171000
2016-09,경기도,수원시 장안구,미국,건강/미용.대중목욕탕,216000
2016-09,경기도,의왕시,중국,유통.할인점/슈퍼마켓,11802419
2016-09,경기도,고양시 일산서구,러시아,유통.할인점/슈퍼마켓,2802450
2016-09,경기도,과천시,네덜란드,요식/유흥.일반대중음식,2800
2016-09,경기도,동두천시,라이베리아,유통.편의점,11500
2016-09,경기도,부천시,러시아,유통.백화점,13241281
2016-09,경기도,안산시 단원구,중국,의류/잡화.내의류판매업,5404767
2016-09,경기도,안성시,남아프리카공화국,요식/유흥.일반대중음식,59900
2016-09,경기도,고양시 덕양구,브루나이드루살렘,유통.식품잡화,114000
2016-09,경기도,구리시,미국,농축수산물.정육점,262300
2016-09,경기도,시흥시,베트남,자동차.LPG가스,60000
2016-09,경기도,용인시 처인구,영국,문화/레져.종합레저타운/놀이동산,1652150
2016-09,경기도,성남시 중원구,영국,유통.할인점/슈퍼마켓,9000
2016-09,경기도,수원시 영통구,인도네시아,요식/유흥.제과점,39300
2016-09,경기도,안양시 만안구,일본,농축수산물.인삼  및  건강제품,456500
2016-09,경기도,포천시,베트남,자동차.LPG가스,28059
2016-09,경기도,남양주시,아일랜드,유통.할인점/슈퍼마켓,64570
2016-09,경기도,연천군,코스타리카,유통.식품잡화,33000
2016-09,경기도,이천시,이탈리아,요식/유흥.일반대중음식,8000
2016-09,경기도,여주시,페루,유통.편의점,22550
2016-09,경기도,평택시,체코,요식/유흥.일반대중음식,99800
2016-09,경기도,수원시 권선구,프랑스,요식/유흥.패스트푸드,14800
2016-09,경기도,의정부시,미국,여행/교통.모텔여관기타숙박,22321000
