기준년월,시도명,시군구명,국적명,업종분류명,사용금액
2016-11,경기도,구리시,싱가폴,요식/유흥.중식,32000
2016-11,경기도,용인시 처인구,태국,자동차.주유소,259495
2016-11,경기도,군포시,인도,요식/유흥.일반대중음식,147000
2016-11,경기도,용인시 기흥구,카자흐스탄,유통.백화점,45140
2016-11,경기도,김포시,뉴질랜드,여행/교통.모텔여관기타숙박,17500
2016-11,경기도,가평군,폴란드,유통.편의점,19400
2016-11,경기도,고양시 일산동구,아르헨티나,여행/교통.특급호텔,3000
2016-11,경기도,수원시 권선구,스웨덴,유통.할인점/슈퍼마켓,100680
2016-11,경기도,이천시,오스트레일리아,건강/미용.안경콘텍트렌즈,340000
2016-11,경기도,성남시 중원구,중국,요식/유흥.패스트푸드,80372
2016-11,경기도,의정부시,이탈리아,여행/교통.모텔여관기타숙박,420000
2016-11,경기도,수원시 영통구,루마니아,요식/유흥.일반대중음식,29000
2016-11,경기도,고양시 일산서구,캐나다,요식/유흥.패스트푸드,58500
2016-11,경기도,안산시 상록구,미국,유통.연쇄점,34000
2016-11,경기도,포천시,베트남,자동차.주유소,70000
2016-11,경기도,시흥시,일본,의류/잡화.아동복,11963000
2016-11,경기도,양평군,중국,요식/유흥.일반대중음식,487316
2016-11,경기도,연천군,덴마크,요식/유흥.일반대중음식,6000
2016-11,경기도,남양주시,폴란드,유통.식품잡화,3500
2016-11,경기도,동두천시,괌,유통.생활잡화,20400
2016-11,경기도,안성시,필리핀,요식/유흥.일반대중음식,9000
2016-11,경기도,용인시 수지구,필리핀,자동차.주유소,185424
2016-11,경기도,광명시,멕시코,자동차.LPG가스,45550
2016-11,경기도,광주시,영국,자동차.LPG가스,41260
2016-11,경기도,안양시 동안구,뉴질랜드,요식/유흥.유흥주점,32000
2016-11,경기도,과천시,필리핀,여행/교통.여객선,20000
2016-11,경기도,의왕시,터키,요식/유흥.한식,203000
2016-11,경기도,수원시 팔달구,사우디아라비아,여행/교통.1급  호텔,129411
2016-11,경기도,안산시 단원구,몽고,유통.할인점/슈퍼마켓,2200
2016-11,경기도,고양시 덕양구,미국,문화/레져.실외골프장,4734500
2016-11,경기도,성남시 수정구,캐나다,의류/잡화.남.여기성복,54100
2016-11,경기도,여주시,인도네시아,의류/잡화.남.여기성복,21367180
2016-11,경기도,파주시,폴란드,문화/레져.서적,5000
2016-11,경기도,평택시,태국,요식/유흥.일반대중음식,1601500
2016-11,경기도,하남시,오스트레일리아,문화/레져.당구장,15000
2016-11,경기도,부천시,인도네시아,여행/교통.1급  호텔,279800
2016-11,경기도,안양시 만안구,미국,문화/레져.서적,40000
2016-11,경기도,화성시,싱가폴,요식/유흥.패스트푸드,4500
2016-11,경기도,양주시,중국,요식/유흥.양식,379476
2016-11,경기도,성남시 분당구,칠레,건강/미용.화장품,16000
2016-11,경기도,수원시 장안구,태국,자동차.주유소,378000
2016-11,경기도,오산시,홍콩,건강/미용.안경콘텍트렌즈,100000
