기준년월,시도명,시군구명,국적명,업종분류명,사용금액
2015-02,경기도,성남시 분당구,홍콩,요식/유흥.패스트푸드,32300
2015-02,경기도,구리시,대만,요식/유흥.한식,352200
2015-02,경기도,오산시,미국,요식/유흥.패스트푸드,767140
2015-02,경기도,안산시 단원구,미국,농축수산물.농수산물,120000
2015-02,경기도,용인시 기흥구,미국,문화/레져.수족관,66000
2015-02,경기도,여주시,싱가폴,문화/레져.실외골프장,337000
2015-02,경기도,평택시,중국,유통.생활잡화,1957021
2015-02,경기도,수원시 장안구,미국,요식/유흥.중식,39500
2015-02,경기도,안양시 동안구,독일,여행/교통.특급호텔,675000
2015-02,경기도,양평군,홍콩,자동차.주유소,690979
2015-02,경기도,안성시,영국,요식/유흥.제과점,53100
2015-02,경기도,이천시,이스라엘,요식/유흥.노래방,10600
2015-02,경기도,안양시 만안구,아랍에미레이트,요식/유흥.양식,31900
2015-02,경기도,연천군,중국,유통.식품잡화,1456109
2015-02,경기도,성남시 수정구,일본,요식/유흥.양식,100000
2015-02,경기도,의왕시,일본,농축수산물.정육점,104980
2015-02,경기도,남양주시,인도,유통.생활잡화,50000
2015-02,경기도,포천시,몽고,의류/잡화.남.여기성복,69700
2015-02,경기도,고양시 일산서구,인도네시아,요식/유흥.제과점,244400
2015-02,경기도,고양시 일산동구,덴마크,유통.편의점,7400
2015-02,경기도,과천시,벨리즈,문화/레져.종합레저타운/놀이동산,46160
2015-02,경기도,광명시,카자흐스탄,요식/유흥.일반대중음식,308900
2015-02,경기도,의정부시,일본,의류/잡화.남.여기성복,4305300
2015-02,경기도,화성시,미국,여행/교통.특급호텔,199165952
2015-02,경기도,동두천시,미국,유통.농협(마트),817180
2015-02,경기도,하남시,베트남,요식/유흥.한식,364000
2015-02,경기도,수원시 영통구,덴마크,요식/유흥.패스트푸드,258100
2015-02,경기도,수원시 팔달구,이스라엘,유통.백화점,131360
2015-02,경기도,용인시 처인구,중국,요식/유흥.일반대중음식,8850277
2015-02,경기도,파주시,불가리아,유통.할인점/슈퍼마켓,46000
2015-02,경기도,가평군,우즈베키스탄,요식/유흥.한식,89000
2015-02,경기도,성남시 중원구,말레이지아,요식/유흥.한식,48000
2015-02,경기도,양주시,오스트레일리아,유통.쇼핑몰,313400
2015-02,경기도,김포시,싱가폴,건강/미용.이용미용,90000
2015-02,경기도,수원시 권선구,중국,요식/유흥.제과점,66774
2015-02,경기도,시흥시,홍콩,자동차.주유소,110000
2015-02,경기도,용인시 수지구,홍콩,자동차.주유소,368000
2015-02,경기도,안산시 상록구,일본,여행/교통.2급  호텔,11438000
2015-02,경기도,광주시,브라질,건강/미용.화장품,7000
2015-02,경기도,부천시,카자흐스탄,건강/미용.화장품,24500
2015-02,경기도,군포시,오스트리아,요식/유흥.일식,58000
2015-02,경기도,고양시 덕양구,스리랑카,요식/유흥.일반대중음식,11000
