기준년월,시도명,시군구명,국적명,업종분류명,사용금액
2015-03,경기도,김포시,싱가폴,요식/유흥.일반대중음식,25000
2015-03,경기도,하남시,홍콩,자동차.주유소,336027
2015-03,경기도,성남시 수정구,라트비아,요식/유흥.한식,19270
2015-03,경기도,고양시 일산동구,덴마크,요식/유흥.제과점,24400
2015-03,경기도,수원시 팔달구,오스트리아,유통.식품잡화,4000
2015-03,경기도,고양시 일산서구,라트비아,요식/유흥.패스트푸드,13200
2015-03,경기도,안산시 상록구,미국,유통.생활잡화,78300
2015-03,경기도,양주시,과테말라,문화/레져.실외골프장,632500
2015-03,경기도,군포시,브라질,요식/유흥.제과점,2450
2015-03,경기도,수원시 장안구,중국,의류/잡화.아동복,146506
2015-03,경기도,부천시,이탈리아,요식/유흥.양식,312900
2015-03,경기도,의정부시,폴란드,유통.할인점/슈퍼마켓,21260
2015-03,경기도,양평군,홍콩,자동차.주유소,319000
2015-03,경기도,포천시,대만,농축수산물.농수산물,15000
2015-03,경기도,수원시 권선구,핀란드,여행/교통.고속버스,18000
2015-03,경기도,시흥시,캐나다,유통.식품잡화,19600
2015-03,경기도,가평군,러시아,유통.식품잡화,119700
2015-03,경기도,광주시,영국,문화/레져.레저스포츠,120000
2015-03,경기도,안양시 만안구,미국,건강/미용.대중목욕탕,35000
2015-03,경기도,용인시 기흥구,벨리즈,유통.편의점,3900
2015-03,경기도,용인시 처인구,오스트레일리아,요식/유흥.일반대중음식,55700
2015-03,경기도,이천시,일본,의류/잡화.기성화(신발),34000
2015-03,경기도,동두천시,중국,요식/유흥.노래방,223674
2015-03,경기도,안산시 단원구,오스트레일리아,문화/레져.당구장,88000
2015-03,경기도,여주시,체코,여행/교통.모텔여관기타숙박,2430000
2015-03,경기도,광명시,프랑스,요식/유흥.패스트푸드,3000
2015-03,경기도,오산시,대만,요식/유흥.패스트푸드,23800
2015-03,경기도,파주시,포르투칼,요식/유흥.한식,15000
2015-03,경기도,성남시 중원구,일본,의류/잡화.남.여기성복,1348100
2015-03,경기도,용인시 수지구,남아프리카공화국,요식/유흥.커피전문점,54200
2015-03,경기도,성남시 분당구,나이지리아,유통.편의점,5200
2015-03,경기도,수원시 영통구,태국,유통.편의점,4400
2015-03,경기도,연천군,미국,유통.식품잡화,3773140
2015-03,경기도,구리시,태국,요식/유흥.일반대중음식,10350
2015-03,경기도,평택시,중국,건강/미용.싸우나탕,100653
2015-03,경기도,남양주시,벨기에,문화/레져.운동경기레져용품,23000
2015-03,경기도,의왕시,홍콩,자동차.주유소,97000
2015-03,경기도,고양시 덕양구,미국,의류/잡화.남.여기성복,1483480
2015-03,경기도,화성시,보츠와나,자동차.LPG가스,48000
2015-03,경기도,안성시,미국,유통.식품잡화,223600
2015-03,경기도,과천시,아랍에미레이트,문화/레져.종합레저타운/놀이동산,214300
2015-03,경기도,안양시 동안구,영국,건강/미용.대중목욕탕,16000
