기준년월,시도명,시군구명,국적명,업종분류명,사용금액
2015-11,경기도,고양시 덕양구,중국,여행/교통.2급  호텔,442814
2015-11,경기도,성남시 중원구,미국,문화/레져.운동경기레져용품,436400
2015-11,경기도,고양시 일산서구,베트남,유통.편의점,9000
2015-11,경기도,용인시 수지구,중국,요식/유흥.양식,250191
2015-11,경기도,안산시 단원구,이스라엘,유통.할인점/슈퍼마켓,99400
2015-11,경기도,남양주시,러시아,요식/유흥.한식,352000
2015-11,경기도,안산시 상록구,라트비아,요식/유흥.제과점,11500
2015-11,경기도,용인시 처인구,콜롬비아,요식/유흥.일반대중음식,29100
2015-11,경기도,이천시,일본,요식/유흥.중식,179500
2015-11,경기도,군포시,이탈리아,문화/레져.운동경기레져용품,28500
2015-11,경기도,시흥시,영국,요식/유흥.커피전문점,5700
2015-11,경기도,수원시 권선구,일본,자동차.주유소,123000
2015-11,경기도,성남시 수정구,미국,요식/유흥.제과점,214700
2015-11,경기도,안양시 동안구,이탈리아,여행/교통.모텔여관기타숙박,3557500
2015-11,경기도,과천시,말레이지아,요식/유흥.일반대중음식,42150
2015-11,경기도,김포시,싱가폴,문화/레져.운동경기레져용품,150500
2015-11,경기도,고양시 일산동구,미국,문화/레져.스포츠센타/레포츠클럽,940000
2015-11,경기도,구리시,미국,요식/유흥.단란주점,16000
2015-11,경기도,동두천시,푸에르토리코,유통.할인점/슈퍼마켓,11660
2015-11,경기도,여주시,미국,여행/교통.모텔여관기타숙박,50000
2015-11,경기도,의정부시,미국,건강/미용.화장품,7323560
2015-11,경기도,광명시,인도네시아,요식/유흥.한식,306000
2015-11,경기도,안양시 만안구,대만,의류/잡화.남.여기성복,7000
2015-11,경기도,연천군,미국,요식/유흥.패스트푸드,41900
2015-11,경기도,포천시,중국,요식/유흥.일반대중음식,1284162
2015-11,경기도,용인시 기흥구,독일,유통.편의점,390550
2015-11,경기도,광주시,인도네시아,자동차.주유소,25000
2015-11,경기도,하남시,독일,유통.식품잡화,6600
2015-11,경기도,수원시 영통구,필리핀,요식/유흥.한식,422500
2015-11,경기도,안성시,영국,유통.할인점/슈퍼마켓,878060
2015-11,경기도,양주시,오스트레일리아,유통.할인점/슈퍼마켓,8000
2015-11,경기도,의왕시,중국,유통.편의점,398534
2015-11,경기도,성남시 분당구,프랑스,요식/유흥.한식,437500
2015-11,경기도,양평군,일본,요식/유흥.커피전문점,17000
2015-11,경기도,파주시,대만,건강/미용.화장품,542000
2015-11,경기도,화성시,러시아,요식/유흥.양식,36000
2015-11,경기도,수원시 팔달구,일본,문화/레져.사진관DPNE,10000
2015-11,경기도,부천시,폴란드,유통.할인점/슈퍼마켓,126480
2015-11,경기도,수원시 장안구,캐나다,유통.편의점,112050
2015-11,경기도,오산시,독일,여행/교통.모텔여관기타숙박,360000
2015-11,경기도,평택시,미국,건강/미용.대중목욕탕,585000
2015-11,경기도,가평군,스웨덴,유통.할인점/슈퍼마켓,4600
