기준년월,시도명,시군구명,국적명,업종분류명,사용금액
2015-12,경기도,구리시,미국,농축수산물.정육점,108030
2015-12,경기도,수원시 장안구,러시아,농축수산물.청과물,8000
2015-12,경기도,성남시 중원구,대만,의류/잡화.남.여기성복,459400
2015-12,경기도,고양시 일산서구,프랑스,유통.할인점/슈퍼마켓,378160
2015-12,경기도,연천군,중국,유통.식품잡화,430632
2015-12,경기도,안산시 단원구,핀란드,건강/미용.안경콘텍트렌즈,80000
2015-12,경기도,의정부시,남아프리카공화국,요식/유흥.한식,200000
2015-12,경기도,양주시,홍콩,문화/레져.실외골프장,160300
2015-12,경기도,용인시 처인구,일본,여행/교통.모텔여관기타숙박,9910490
2015-12,경기도,포천시,뉴질랜드,유통.할인점/슈퍼마켓,88540
2015-12,경기도,안산시 상록구,독일,요식/유흥.커피전문점,4700
2015-12,경기도,고양시 덕양구,칠레,유통.할인점/슈퍼마켓,213000
2015-12,경기도,가평군,홍콩,자동차.주유소,174000
2015-12,경기도,고양시 일산동구,중국,요식/유흥.일식,12154147
2015-12,경기도,양평군,홍콩,자동차.주유소,218403
2015-12,경기도,남양주시,터키,의류/잡화.남.여기성복,30000
2015-12,경기도,오산시,덴마크,유통.할인점/슈퍼마켓,17190
2015-12,경기도,수원시 팔달구,중국,자동차.주유소,782968
2015-12,경기도,화성시,네덜란드,유통.편의점,202300
2015-12,경기도,과천시,카타르,문화/레져.종합레저타운/놀이동산,103500
2015-12,경기도,군포시,스리랑카,요식/유흥.노래방,225000
2015-12,경기도,성남시 분당구,이탈리아,유통.백화점,1927170
2015-12,경기도,성남시 수정구,일본,요식/유흥.중식,38000
2015-12,경기도,여주시,스리랑카,의류/잡화.남.여기성복,329000
2015-12,경기도,수원시 영통구,벨기에,요식/유흥.일식,300000
2015-12,경기도,파주시,코스타리카,요식/유흥.한식,71600
2015-12,경기도,용인시 기흥구,영국,여행/교통.모텔여관기타숙박,525000
2015-12,경기도,수원시 권선구,베트남,여행/교통.모텔여관기타숙박,110000
2015-12,경기도,안성시,오스트레일리아,자동차.주유소,483000
2015-12,경기도,하남시,필리핀,자동차.LPG가스,27484
2015-12,경기도,광명시,폴란드,유통.할인점/슈퍼마켓,1980
2015-12,경기도,시흥시,싱가폴,자동차.주유소,70000
2015-12,경기도,안양시 만안구,중국,건강/미용.피부미용실,1336775
2015-12,경기도,안양시 동안구,미국,여행/교통.모텔여관기타숙박,16313240
2015-12,경기도,의왕시,아랍에미레이트,자동차.LPG가스,45568
2015-12,경기도,광주시,오스트레일리아,유통.편의점,67150
2015-12,경기도,부천시,멕시코,여행/교통.1급  호텔,1868500
2015-12,경기도,용인시 수지구,미국,문화/레져.운동경기레져용품,4085050
2015-12,경기도,동두천시,러시아,유통.편의점,4500
2015-12,경기도,이천시,일본,요식/유흥.중식,174500
2015-12,경기도,평택시,홍콩,유통.백화점,369650
2015-12,경기도,김포시,몽고,농축수산물.정육점,8500
