기준년월,시도명,시군구명,국적명,업종분류명,사용금액
2016-06,경기도,성남시 수정구,브라질,건강/미용.피부미용실,100000
2016-06,경기도,의왕시,홍콩,자동차.주유소,72000
2016-06,경기도,여주시,태국,문화/레져.운동경기레져용품,487000
2016-06,경기도,과천시,러시아,유통.편의점,84700
2016-06,경기도,의정부시,태국,의류/잡화.남.여기성복,857700
2016-06,경기도,안양시 동안구,일본,요식/유흥.일반대중음식,1932300
2016-06,경기도,양주시,중국,자동차.주유소,2004609
2016-06,경기도,용인시 처인구,미국,건강/미용.대중목욕탕,80000
2016-06,경기도,파주시,중국,건강/미용.화장품,3431575
2016-06,경기도,광주시,미국,유통.농협(마트),232680
2016-06,경기도,오산시,중국,요식/유흥.일반대중음식,13764277
2016-06,경기도,수원시 장안구,미국,요식/유흥.제과점,745540
2016-06,경기도,화성시,미국,요식/유흥.양식,3189030
2016-06,경기도,광명시,일본,요식/유흥.패스트푸드,124000
2016-06,경기도,부천시,중국,유통.할인점/슈퍼마켓,259586451
2016-06,경기도,안성시,대만,유통.편의점,15900
2016-06,경기도,용인시 기흥구,인도,유통.편의점,62450
2016-06,경기도,평택시,아랍에미레이트,요식/유흥.양식,16000
2016-06,경기도,성남시 중원구,멕시코,건강/미용.화장품,154000
2016-06,경기도,수원시 권선구,터키,유통.할인점/슈퍼마켓,135680
2016-06,경기도,안산시 상록구,태국,요식/유흥.일반대중음식,54000
2016-06,경기도,남양주시,캐나다,자동차.LPG가스,38635
2016-06,경기도,성남시 분당구,인도네시아,유통.백화점,12057060
2016-06,경기도,하남시,베트남,의류/잡화.남.여기성복,25000
2016-06,경기도,가평군,독일,문화/레져.레저스포츠,50000
2016-06,경기도,용인시 수지구,필리핀,유통.편의점,4400
2016-06,경기도,고양시 일산동구,브라질,요식/유흥.일반대중음식,88000
2016-06,경기도,연천군,미국,요식/유흥.중식,31000
2016-06,경기도,수원시 영통구,리투아니아,요식/유흥.일반대중음식,102900
2016-06,경기도,수원시 팔달구,대만,유통.생활잡화,234200
2016-06,경기도,시흥시,필리핀,요식/유흥.나이트크럽,77000
2016-06,경기도,군포시,미국,문화/레져.사진관DPNE,23200
2016-06,경기도,이천시,아랍에미레이트,의류/잡화.남.여기성복,673600
2016-06,경기도,고양시 덕양구,캄보디아,건강/미용.이용미용,12000
2016-06,경기도,김포시,뉴질랜드,유통.쇼핑몰,65700
2016-06,경기도,고양시 일산서구,뉴질랜드,요식/유흥.커피전문점,30900
2016-06,경기도,안양시 만안구,프랑스,의류/잡화.캐주얼의류,31000
2016-06,경기도,동두천시,미국,유통.식품잡화,29870700
2016-06,경기도,안산시 단원구,미국,의류/잡화.제화점,77350
2016-06,경기도,포천시,중국,유통.식품잡화,742761
2016-06,경기도,구리시,미국,건강/미용.대중목욕탕,27000
2016-06,경기도,양평군,미국,여행/교통.콘도미니엄,35200
