기준년월,시도명,시군구명,국적명,업종분류명,사용금액
2016-04,경기도,과천시,중국,유통.편의점,879156
2016-04,경기도,안성시,폴란드,요식/유흥.중식,7500
2016-04,경기도,수원시 장안구,네덜란드,건강/미용.대중목욕탕,84000
2016-04,경기도,이천시,중국,유통.식품잡화,2303088
2016-04,경기도,시흥시,미국,요식/유흥.일반대중음식,3079860
2016-04,경기도,남양주시,싱가폴,여행/교통.2급  호텔,870000
2016-04,경기도,안양시 동안구,아랍에미레이트,유통.할인점/슈퍼마켓,586110
2016-04,경기도,용인시 처인구,카타르,의류/잡화.남.여기성복,75700
2016-04,경기도,파주시,독일,여행/교통.모텔여관기타숙박,320000
2016-04,경기도,수원시 팔달구,러시아,유통.편의점,596980
2016-04,경기도,평택시,오스트레일리아,건강/미용.이용미용,41800
2016-04,경기도,용인시 기흥구,일본,요식/유흥.한식,7752890
2016-04,경기도,구리시,중국,여행/교통.모텔여관기타숙박,6026652
2016-04,경기도,김포시,미국,자동차.LPG가스,188808
2016-04,경기도,연천군,미국,요식/유흥.제과점,81500
2016-04,경기도,의왕시,미국,문화/레져.실내골프장,12000
2016-04,경기도,고양시 일산동구,체코,여행/교통.모텔여관기타숙박,720000
2016-04,경기도,고양시 일산서구,캐나다,유통.농협(마트),1305320
2016-04,경기도,오산시,캐나다,요식/유흥.양식,28690
2016-04,경기도,고양시 덕양구,인도네시아,자동차.자전거(성인용),70000
2016-04,경기도,동두천시,미국,요식/유흥.유흥주점,378881200
2016-04,경기도,수원시 영통구,우크라이나,요식/유흥.패스트푸드,24700
2016-04,경기도,여주시,영국,의류/잡화.남.여기성복,10667500
2016-04,경기도,성남시 분당구,오스트레일리아,유통.백화점,11132260
2016-04,경기도,가평군,미국,유통.생활잡화,88540
2016-04,경기도,성남시 중원구,오스트레일리아,요식/유흥.패스트푸드,19400
2016-04,경기도,광주시,몽고,유통.편의점,9600
2016-04,경기도,양평군,싱가폴,요식/유흥.양식,118000
2016-04,경기도,안산시 상록구,오스트레일리아,요식/유흥.중식,15500
2016-04,경기도,하남시,미국,농축수산물.청과물,26000
2016-04,경기도,화성시,러시아,유통.식품잡화,18400
2016-04,경기도,수원시 권선구,싱가폴,유통.할인점/슈퍼마켓,2007170
2016-04,경기도,안양시 만안구,싱가폴,건강/미용.안경콘텍트렌즈,2202000
2016-04,경기도,안산시 단원구,중국,문화/레져.실내골프장,1036844
2016-04,경기도,용인시 수지구,미국,농축수산물.청과물,47000
2016-04,경기도,성남시 수정구,스웨덴,요식/유흥.일반대중음식,41000
2016-04,경기도,포천시,미국,농축수산물.정육점,96960
2016-04,경기도,군포시,미국,요식/유흥.제과점,477750
2016-04,경기도,의정부시,프랑스,의류/잡화.아동복,11600
2016-04,경기도,양주시,중국,유통.쇼핑몰,30747811
2016-04,경기도,광명시,인도,건강/미용.이용미용,117000
2016-04,경기도,부천시,미국,요식/유흥.칵테일스텐드빠,370000
