기준년월,시도명,시군구명,국적명,업종분류명,사용금액
2016-02,경기도,시흥시,일본,자동차.주유소,544702
2016-02,경기도,수원시 장안구,독일,건강/미용.대중목욕탕,18000
2016-02,경기도,연천군,일본,유통.할인점/슈퍼마켓,62900
2016-02,경기도,포천시,아랍에미레이트,자동차.주유소,60000
2016-02,경기도,용인시 기흥구,일본,요식/유흥.중식,434000
2016-02,경기도,구리시,영국,요식/유흥.일반대중음식,11200
2016-02,경기도,여주시,칠레,의류/잡화.남.여기성복,341400
2016-02,경기도,의왕시,중국,요식/유흥.중식,496133
2016-02,경기도,의정부시,미국,유통.식품잡화,2060800
2016-02,경기도,고양시 일산동구,홍콩,의류/잡화.남.여기성복,205500
2016-02,경기도,과천시,일본,요식/유흥.한식,1026800
2016-02,경기도,김포시,러시아,건강/미용.대중목욕탕,6000
2016-02,경기도,용인시 처인구,루마니아,문화/레져.종합레저타운/놀이동산,50100
2016-02,경기도,군포시,홍콩,농축수산물.정육점,165100
2016-02,경기도,남양주시,미국,농축수산물.청과물,21950
2016-02,경기도,성남시 중원구,영국,유통.편의점,40700
2016-02,경기도,안양시 만안구,홍콩,유통.편의점,7000
2016-02,경기도,안산시 상록구,오스트레일리아,의류/잡화.남.여기성복,65000
2016-02,경기도,오산시,아랍에미레이트,농축수산물.정육점,49000
2016-02,경기도,가평군,홍콩,문화/레져.관광민예선물용품,107000
2016-02,경기도,고양시 덕양구,미국,문화/레져.동물농장,10000
2016-02,경기도,성남시 분당구,중국,여행/교통.모텔여관기타숙박,1057033929
2016-02,경기도,안성시,아르헨티나,요식/유흥.일반대중음식,13000
2016-02,경기도,이천시,미국,문화/레져.운동경기레져용품,3304950
2016-02,경기도,동두천시,러시아,유통.농협(마트),28460
2016-02,경기도,용인시 수지구,미국,유통.농협(마트),118140
2016-02,경기도,수원시 권선구,미국,건강/미용.이용미용,2859400
2016-02,경기도,하남시,필리핀,요식/유흥.한식,107000
2016-02,경기도,안양시 동안구,미국,여행/교통.특급호텔,510000
2016-02,경기도,양주시,미국,건강/미용.화장품,581900
2016-02,경기도,평택시,캐나다,건강/미용.안경콘텍트렌즈,150000
2016-02,경기도,화성시,네덜란드,여행/교통.모텔여관기타숙박,1012000
2016-02,경기도,광명시,캐나다,유통.생활잡화,15000
2016-02,경기도,수원시 팔달구,싱가폴,건강/미용.피부미용실,100000
2016-02,경기도,양평군,일본,요식/유흥.일반대중음식,421000
2016-02,경기도,고양시 일산서구,오스트레일리아,요식/유흥.주류판매(유통),98000
2016-02,경기도,안산시 단원구,오스트리아,여행/교통.모텔여관기타숙박,177000
2016-02,경기도,수원시 영통구,이탈리아,요식/유흥.일반대중음식,165400
2016-02,경기도,성남시 수정구,필리핀,유통.편의점,34950
2016-02,경기도,파주시,인도네시아,문화/레져.실외골프장,317000
2016-02,경기도,광주시,말레이지아,농축수산물.농수산물,57500
2016-02,경기도,부천시,캐나다,의류/잡화.남.여기성복,344000
