기준년월,시도명,시군구명,국적명,업종분류명,사용금액
2016-08,경기도,광주시,인도네시아,요식/유흥.한식,202000
2016-08,경기도,의정부시,미국,요식/유흥.패스트푸드,15488680
2016-08,경기도,동두천시,미국,문화/레져.레저스포츠,79000
2016-08,경기도,연천군,미국,문화/레져.관광민예선물용품,10000
2016-08,경기도,수원시 팔달구,캐나다,유통.편의점,211950
2016-08,경기도,고양시 덕양구,미국,의류/잡화.기성화(신발),61000
2016-08,경기도,성남시 중원구,스웨덴,요식/유흥.일반대중음식,159000
2016-08,경기도,안산시 상록구,인도,요식/유흥.일반대중음식,438200
2016-08,경기도,의왕시,미국,유통.식품잡화,187880
2016-08,경기도,고양시 일산서구,영국,문화/레져.레저스포츠,44000
2016-08,경기도,평택시,일본,농축수산물.농수산물,14900
2016-08,경기도,안성시,오스트리아,자동차.주유소,59000
2016-08,경기도,가평군,인도,요식/유흥.양식,61000
2016-08,경기도,과천시,스페인,유통.편의점,1900
2016-08,경기도,구리시,콜롬비아,여행/교통.모텔여관기타숙박,480000
2016-08,경기도,안양시 동안구,미국,문화/레져.당구장,17000
2016-08,경기도,이천시,오스트레일리아,의류/잡화.남.여기성복,40500
2016-08,경기도,하남시,영국,요식/유흥.일반대중음식,34000
2016-08,경기도,성남시 수정구,뉴질랜드,건강/미용.대중목욕탕,6000
2016-08,경기도,양평군,태국,자동차.주유소,46000
2016-08,경기도,오산시,아일랜드,유통.할인점/슈퍼마켓,1607870
2016-08,경기도,용인시 수지구,중국,여행/교통.모텔여관기타숙박,1655850
2016-08,경기도,성남시 분당구,우크라이나,유통.편의점,29700
2016-08,경기도,수원시 장안구,베트남,건강/미용.화장품,153000
2016-08,경기도,용인시 처인구,우크라이나,문화/레져.종합레저타운/놀이동산,166200
2016-08,경기도,안산시 단원구,홍콩,요식/유흥.패스트푸드,2000
2016-08,경기도,화성시,미국,문화/레져.수련원체험장,62000
2016-08,경기도,수원시 권선구,남아프리카공화국,여행/교통.고속버스,12000
2016-08,경기도,포천시,폴란드,여행/교통.모텔여관기타숙박,40000
2016-08,경기도,고양시 일산동구,뉴질랜드,건강/미용.대중목욕탕,59000
2016-08,경기도,여주시,과테말라,의류/잡화.남.여기성복,315700
2016-08,경기도,군포시,프랑스,유통.할인점/슈퍼마켓,105520
2016-08,경기도,남양주시,몽고,여행/교통.2급  호텔,150000
2016-08,경기도,광명시,아랍에미레이트,농축수산물.정육점,12810
2016-08,경기도,양주시,스위스,유통.쇼핑몰,121500
2016-08,경기도,부천시,그리스,요식/유흥.한식,121000
2016-08,경기도,파주시,푸에르토리코,유통.편의점,11700
2016-08,경기도,수원시 영통구,오스트레일리아,건강/미용.스포츠마사지,132000
2016-08,경기도,용인시 기흥구,독일,의류/잡화.남.여기성복,208000
2016-08,경기도,시흥시,말레이지아,유통.할인점/슈퍼마켓,38200
2016-08,경기도,김포시,멕시코,문화/레져.실외골프장,271500
2016-08,경기도,안양시 만안구,홍콩,요식/유흥.양식,19300
