기준년월,시도명,시군구명,국적명,업종분류명,사용금액
2015-04,경기도,광명시,미국,자동차.LPG가스,147983
2015-04,경기도,의정부시,일본,유통.백화점,3815150
2015-04,경기도,양주시,중국,문화/레져.운동경기레져용품,9961656
2015-04,경기도,포천시,러시아,유통.생활잡화,30200
2015-04,경기도,연천군,스웨덴,여행/교통.모텔여관기타숙박,40000
2015-04,경기도,고양시 덕양구,캐나다,요식/유흥.중식,24000
2015-04,경기도,용인시 기흥구,독일,건강/미용.화장품,34250
2015-04,경기도,평택시,홍콩,건강/미용.안경콘텍트렌즈,180000
2015-04,경기도,고양시 일산서구,필리핀,요식/유흥.패스트푸드,80800
2015-04,경기도,안성시,스페인,자동차.주유소,107000
2015-04,경기도,안양시 만안구,영국,문화/레져.서적,34000
2015-04,경기도,오산시,대만,요식/유흥.한식,607400
2015-04,경기도,의왕시,태국,건강/미용.이용미용,72000
2015-04,경기도,부천시,일본,건강/미용.싸우나탕,14000
2015-04,경기도,하남시,홍콩,문화/레져.실외골프장,18000
2015-04,경기도,수원시 권선구,영국,건강/미용.화장품,38000
2015-04,경기도,안산시 상록구,브라질,유통.할인점/슈퍼마켓,547910
2015-04,경기도,양평군,남아프리카공화국,유통.할인점/슈퍼마켓,15430
2015-04,경기도,여주시,오스트레일리아,의류/잡화.아동복,27000
2015-04,경기도,파주시,이탈리아,문화/레져.골동품예술품,43000
2015-04,경기도,수원시 팔달구,아랍에미레이트,요식/유흥.제과점,7600
2015-04,경기도,안산시 단원구,대만,유통.백화점,166000
2015-04,경기도,용인시 처인구,푸에르토리코,유통.할인점/슈퍼마켓,12790
2015-04,경기도,화성시,이탈리아,자동차.주유소,82000
2015-04,경기도,남양주시,오스트레일리아,요식/유흥.한식,904800
2015-04,경기도,시흥시,오스트레일리아,농축수산물.정육점,22300
2015-04,경기도,동두천시,중국,유통.농협(마트),195859
2015-04,경기도,가평군,일본,요식/유흥.제과점,132200
2015-04,경기도,과천시,싱가폴,문화/레져.종합레저타운/놀이동산,2222600
2015-04,경기도,수원시 영통구,프랑스,요식/유흥.부페,10900
2015-04,경기도,김포시,중국,유통.쇼핑몰,320717427
2015-04,경기도,성남시 중원구,중국,건강/미용.화장품,27393945
2015-04,경기도,수원시 장안구,미국,건강/미용.대중목욕탕,272800
2015-04,경기도,광주시,필리핀,문화/레져.실외골프장,748240
2015-04,경기도,구리시,독일,유통.할인점/슈퍼마켓,52800
2015-04,경기도,안양시 동안구,싱가폴,건강/미용.이용미용,48000
2015-04,경기도,용인시 수지구,중국,건강/미용.싸우나탕,85581
2015-04,경기도,성남시 수정구,캐나다,유통.할인점/슈퍼마켓,288000
2015-04,경기도,군포시,뉴질랜드,요식/유흥.제과점,54000
2015-04,경기도,이천시,말레이지아,요식/유흥.제과점,14400
2015-04,경기도,고양시 일산동구,러시아,요식/유흥.일식,6600
2015-04,경기도,성남시 분당구,태국,건강/미용.화장품,236800
