기준년월,시도명,시군구명,국적명,업종분류명,사용금액
2015-05,경기도,동두천시,러시아,건강/미용.대중목욕탕,21000
2015-05,경기도,성남시 분당구,스위스,요식/유흥.한식,196000
2015-05,경기도,안산시 단원구,이탈리아,요식/유흥.제과점,4400
2015-05,경기도,부천시,인도네시아,유통.할인점/슈퍼마켓,1390720
2015-05,경기도,포천시,미국,문화/레져.실외골프장,4473980
2015-05,경기도,용인시 기흥구,대만,요식/유흥.단란주점,224000
2015-05,경기도,파주시,말레이지아,의류/잡화.남.여기성복,15083050
2015-05,경기도,평택시,러시아,요식/유흥.한식,129000
2015-05,경기도,하남시,네덜란드,여행/교통.모텔여관기타숙박,300000
2015-05,경기도,과천시,남아프리카공화국,요식/유흥.양식,8000
2015-05,경기도,안성시,카타르,요식/유흥.일반대중음식,26400
2015-05,경기도,양주시,핀란드,요식/유흥.한식,30000
2015-05,경기도,안양시 동안구,대만,유통.편의점,7100
2015-05,경기도,이천시,오스트레일리아,자동차.주유소,229000
2015-05,경기도,광주시,프랑스,문화/레져.실외골프장,173000
2015-05,경기도,성남시 중원구,멕시코,유통.편의점,20900
2015-05,경기도,수원시 장안구,러시아,의류/잡화.기성화(신발),103000
2015-05,경기도,의정부시,브라질,유통.할인점/슈퍼마켓,152710
2015-05,경기도,김포시,필리핀,유통.편의점,5650
2015-05,경기도,성남시 수정구,아랍에미레이트,요식/유흥.유흥주점,40000
2015-05,경기도,수원시 팔달구,대만,요식/유흥.일반대중음식,1334100
2015-05,경기도,양평군,네덜란드,요식/유흥.한식,36000
2015-05,경기도,고양시 일산동구,러시아,유통.편의점,728370
2015-05,경기도,광명시,홍콩,요식/유흥.한식,608100
2015-05,경기도,의왕시,캐나다,요식/유흥.양식,42500
2015-05,경기도,안양시 만안구,홍콩,의류/잡화.남.여기성복,123500
2015-05,경기도,화성시,독일,여행/교통.모텔여관기타숙박,7754200
2015-05,경기도,용인시 수지구,미국,문화/레져.스포츠센타/레포츠클럽,387000
2015-05,경기도,가평군,미국,유통.편의점,1627070
2015-05,경기도,수원시 권선구,뉴질랜드,의류/잡화.내의류판매업,35000
2015-05,경기도,시흥시,핀란드,자동차.주유소,20000
2015-05,경기도,구리시,베트남,유통.편의점,32100
2015-05,경기도,수원시 영통구,폴란드,요식/유흥.한식,46100
2015-05,경기도,용인시 처인구,콜롬비아,요식/유흥.제과점,7200
2015-05,경기도,남양주시,캐나다,의류/잡화.남.여기성복,84100
2015-05,경기도,안산시 상록구,중국,자동차.주유소,523100
2015-05,경기도,오산시,아랍에미레이트,요식/유흥.한식,4800
2015-05,경기도,군포시,중국,여행/교통.1급  호텔,6171732
2015-05,경기도,여주시,벨기에,유통.편의점,1700
2015-05,경기도,고양시 덕양구,콜롬비아,자동차.LPG가스,50462
2015-05,경기도,고양시 일산서구,미국,요식/유흥.제과점,1462380
2015-05,경기도,연천군,일본,요식/유흥.한식,651750
