기준년월,시도명,시군구명,국적명,업종분류명,사용금액
2016-12,경기도,오산시,인도,의류/잡화.남.여기성복,74600
2016-12,경기도,남양주시,몰디브,요식/유흥.한식,51000
2016-12,경기도,용인시 기흥구,홍콩,문화/레져.운동경기레져용품,248000
2016-12,경기도,가평군,미국,문화/레져.실외골프장,436520
2016-12,경기도,용인시 수지구,일본,요식/유흥.패스트푸드,99300
2016-12,경기도,김포시,이집트,요식/유흥.한식,28000
2016-12,경기도,동두천시,세르비아,유통.생활잡화,17700
2016-12,경기도,안산시 단원구,오스트레일리아,요식/유흥.제과점,12000
2016-12,경기도,용인시 처인구,이스라엘,요식/유흥.일반대중음식,4000
2016-12,경기도,성남시 수정구,일본,요식/유흥.양식,66500
2016-12,경기도,포천시,말레이지아,여행/교통.콘도미니엄,1769400
2016-12,경기도,안양시 동안구,베트남,요식/유흥.패스트푸드,21400
2016-12,경기도,고양시 일산동구,미국,건강/미용.피부미용실,284000
2016-12,경기도,군포시,홍콩,자동차.주유소,2848
2016-12,경기도,양주시,미국,건강/미용.안경콘텍트렌즈,392000
2016-12,경기도,파주시,홍콩,의류/잡화.기성화(신발),66000
2016-12,경기도,광명시,필리핀,건강/미용.화장품,66400
2016-12,경기도,성남시 중원구,네덜란드,건강/미용.안경콘텍트렌즈,35000
2016-12,경기도,여주시,마카오,의류/잡화.남.여기성복,917160
2016-12,경기도,고양시 덕양구,홍콩,문화/레져.서적,22600
2016-12,경기도,의정부시,프랑스,요식/유흥.패스트푸드,15900
2016-12,경기도,광주시,홍콩,유통.식품잡화,159190
2016-12,경기도,하남시,대만,문화/레져.운동경기레져용품,15000
2016-12,경기도,부천시,아랍에미레이트,유통.할인점/슈퍼마켓,620900
2016-12,경기도,안양시 만안구,미국,농축수산물.미곡상,58000
2016-12,경기도,안성시,일본,유통.할인점/슈퍼마켓,839410
2016-12,경기도,고양시 일산서구,칠레,문화/레져.운동경기레져용품,1492000
2016-12,경기도,시흥시,방글라데시,여행/교통.2급  호텔,33000
2016-12,경기도,안산시 상록구,멕시코,유통.편의점,193300
2016-12,경기도,평택시,인도네시아,의류/잡화.제화점,31000
2016-12,경기도,과천시,중국,요식/유흥.일식,1234719
2016-12,경기도,연천군,캐나다,유통.할인점/슈퍼마켓,20000
2016-12,경기도,의왕시,일본,요식/유흥.패스트푸드,97200
2016-12,경기도,수원시 장안구,뉴질랜드,건강/미용.대중목욕탕,8000
2016-12,경기도,수원시 팔달구,남아프리카공화국,건강/미용.화장품,18000
2016-12,경기도,수원시 권선구,푸에르토리코,요식/유흥.제과점,2500
2016-12,경기도,양평군,영국,유통.농협(마트),2500
2016-12,경기도,구리시,베트남,요식/유흥.한식,91500
2016-12,경기도,이천시,아일랜드,의류/잡화.남.여기성복,1850000
2016-12,경기도,화성시,프랑스,유통.편의점,91750
2016-12,경기도,성남시 분당구,중국,요식/유흥.유흥주점,76510778
2016-12,경기도,수원시 영통구,에콰도르,농축수산물.농수산물,21000
